Software Version,2.05.5,
,,
,,
,,
Experiment File Path:,C:\Users\Public\Documents\Experiments\Steen\Fluorescence Test Plate\2016_10_11_Cytation Fluo Test Plate.xpt,
Protocol File Path:,C:\Users\Public\Documents\Protocols\Steen\2016_10_10_GC_kinetic_37_gain.prt,
,,
,,
,,
Plate Number,Plate 1,
Date,10/11/16,
Time,8:23:21 AM,
Reader Type:,Cytation3,
Reader Serial Number:,14032419,
Reading Type,Reader,
,,
Procedure Details,,
,,
Plate Type,96 WELL PLATE,
Set Temperature,Setpoint 25øC,
,Preheat before moving to next step,
Start Kinetic,"Runtime 1:30:00 (HH:MM:SS), Interval 0:15:00, 7 Reads",
    Shake,Double Orbital: Continuous,
,Frequency: 282 cpm (3 mm),
    Read,Fluorescence Endpoint,
,Full Plate,
,Filter Set 1,
,"    Excitation: 490,  Emission: 525",
,"    Optics: Top,  Gain: 60",
,"Light Source: Xenon Flash,  Lamp Energy: High",
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10",
,Read Height: 8.5 mm,
,,
well,voltage,r.squared
A1,-12533.333,1
A2,-11666.667,1
A3,-3266.667,1
A4,-3000,1
A5,-933.333,1
A6,-866.667,1
A7,-1333.333,1
A9,1666.667,1
A10,800,1
A11,-1533.333,1
A12,-666.667,1
B1,-10733.333,1
B2,-4933.333,1
B3,-6066.667,1
B4,1866.667,1
B5,-1200,1
B6,-1866.667,1
B7,-1666.667,1
B8,800,1
B9,1733.333,1
B10,1933.333,1
B11,1400,1
B12,-800,1
C1,-9800,1
C2,-7266.667,1
C3,-2666.667,1
C4,-2066.667,1
C5,-1200,1
C6,-1266.667,1
C7,-1866.667,1
C8,1400,1
C9,800,1
C10,733.333,1
C11,1333.333,1
C12,-1000,1
D1,-20933.333,1
D2,-7933.333,1
D3,-4600,1
D4,-1533.333,1
D5,-800,1
D6,-1000,1
D7,-1600,1
D8,-1400,1
D9,1533.333,1
D10,-1200,1
D11,866.667,1
D12,-733.333,1
E1,-20733.333,1
E2,-10066.667,1
E3,-6333.333,1
E4,-2133.333,1
E5,-2066.667,1
E6,933.333,1
E7,-1400,1
E8,-1000,1
E9,-600,1
E10,600,1
E11,1400,1
E12,-1733.333,1
F1,-14666.667,1
F2,-7133.333,1
F3,-7933.333,1
F4,-1466.667,1
F5,-1066.667,1
F6,-1866.667,1
F7,-1200,1
F8,1000,1
F9,1266.667,1
F10,-933.333,1
F11,733.333,1
F12,666.667,1
G1,-11933.333,1
G2,-9466.667,1
G3,-6266.667,1
G4,-2266.667,1
G5,-1800,1
G6,1266.667,1
G7,-1133.333,1
G8,-1333.333,1
G9,-1533.333,1
G10,-1533.333,1
G11,866.667,1
G12,1666.667,1
H1,-11933.333,1
H2,-6533.333,1
H3,-6200,1
H4,-1666.667,1
H5,-1866.667,1
H6,-1533.333,1
H8,-1200,1
H9,1400,1
H10,1133.333,1
H11,1200,1
H12,-1133.333,1
